Common_Name	Scientific_Name	UCSC_ID	Taxon_ID
Panda	Ailuropoda melanoleuca	ailMel1	9646
American alligator	Alligator mississippiensis	allMis1	8496
Anopheles gambiae	Anopheles gambiae	anoGam1	7165
Honey Bee	Apis mellifera	apiMel1	7460
Honey Bee	Apis mellifera	apiMel2	7460
Honey Bee	Apis mellifera	apiMel3	7460
Sea Hare	Aplysia californica	aplCal1	6500
Minke Whale	Balaenoptera acutorostrata	balAcu1	9767
Cow	Bos taurus	bosTau1	9913
Cow	Bos taurus	bosTau2	9913
Cow	Bos taurus	bosTau3	9913
Cow	Bos taurus	bosTau4	9913
Cow	Bos taurus	bosTau5	9913
Cow	Bos taurus	bosTau6	9913
Cow	Bos taurus	bosTau7	9913
Cow	Bos taurus	bosTauMd3	9913
Lancelet 	Branchiostoma floridae	braFlo1	7739
Lancelet 	Branchiostoma floridae	braFlo2	7739
Worm	Caenorhabditis angaria	caeAng1	860376
Nematode	Caenorhabditis japonica	caeJap1	281687
Camellia japonica	Camellia japonica	caeJap4	4443
Caenorhabditis brenneri 	Caenorhabditis brenneri	caePb1	135651
Caenorhabditis brenneri 	Caenorhabditis brenneri	caePb2	135651
Caenorhabditis brenneri 	Caenorhabditis brenneri	caePb3	135651
Nematode	Caenorhabditis remanei	caeRem2	31234
Nematode	Caenorhabditis remanei	caeRem3	31234
Nematode	Caenorhabditis remanei	caeRem4	31234
Caenorhabditis sp. 111	Caenorhabditis sp.	caeSp111	56638
Caenorhabditis sp. 71	Caenorhabditis sp.	caeSp71	56638
Caenorhabditis sp. 91	Caenorhabditis sp.	caeSp91	56638
Marmoset 	Callithrix jacchus	calJac1	9483
Marmoset 	Callithrix jacchus	calJac3	9483
Elephant Shark	Callorhinchus milii	calMil1	7868
Dog	Canis familiaris	canFam1	9615
Dog	Canis familiaris	canFam2	9615
Dog	Canis familiaris	canFam3	9615
Guinea pig	Cavia porcellus	cavPor3	10141
Nematode	Caenorhabditis briggsae	cb1	6238
Nematode	Caenorhabditis briggsae	cb3	6238
Nematode	Caenorhabditis briggsae	cb4	6238
Worm	Caenorhabditis elegans	ce10	6239
Nematode	Caenorhabditis elegans	ce2	6239
Nematode	Caenorhabditis elegans	ce4	6239
Nematode	Caenorhabditis elegans	ce5	6239
Nematode	Caenorhabditis elegans	ce6	6239
Southern white rhinoceros	Ceratotherium simum simum	cerSim1	73337
Sloth	Choloepus hoffmanni	choHof1	9358
Western painted turtle	Chrysemys picta bellii	chrPic1	8478
Sea squirt	Ciona intestinalis	ci1	7719
Sea squirt	Ciona intestinalis	ci2	7719
Chinese Hamster	Cricetulus griseus	criGri1	10029
Zebrafish	Danio rerio	danRer2	7955
Zebrafish	Danio rerio	danRer3	7955
Zebrafish	Danio rerio	danRer4	7955
Zebrafish	Danio rerio	danRer5	7955
Zebrafish	Danio rerio	danRer6	7955
Zebrafish	Danio rerio	danRer7	7955
Armadillo	Dasypus novemcinctus	dasNov1	9361
Armadillo	Dasypus novemcinctus	dasNov2	9361
Armadillo	Dasypus novemcinctus	dasNov3	9361
Kangaroo rat	Dipodomys ordii	dipOrd1	10020
Fruit fly	Drosophila melanogaster	dm1	7227
Fruit fly	Drosophila melanogaster	dm2	7227
Fruit fly	Drosophila melanogaster	dm3	7227
Fruit fly	Drosophila pseudoobscura	dp2	7237
Fruit fly	Drosophila pseudoobscura	dp3	7237
Fruit fly	Drosophila pseudoobscura	dp4	7237
Fruit fly	Drosophila ananassae	droAna1	7217
Fruit fly	Drosophila ananassae	droAna2	7217
Fruit fly	Drosophila ananassae	droAna3	7217
Fruit fly	Drosophila erecta	droEre1	7220
Fruit fly	Drosophila erecta	droEre2	7220
Fruit fly	Drosophila grimshawi	droGri1	7222
Fruit fly	Drosophila grimshawi	droGri2	7222
Fruit fly	Drosophila mojavensis	droMoj1	7230
Fruit fly	Drosophila mojavensis	droMoj2	7230
Fruit fly	Drosophila mojavensis	droMoj3	7230
Fruit fly	Drosophila persimilis	droPer1	7234
Fruit fly	Drosophila sechellia	droSec1	7238
Fruit fly	Drosophila simulans	droSim1	7240
Fruit fly	Drosophila virilis	droVir1	7244
Fruit fly	Drosophila virilis	droVir2	7244
Fruit fly	Drosophila virilis	droVir3	7244
Fruit fly	Drosophila willistoni	droWil1	7260
Fruit fly	Drosophila yakuba	droYak1	7245
Fruit fly	Drosophila yakuba	droYak2	7245
Lesser hedgehog tenrec	Echinops telfairi	echTel1	9371
Tenrec	Tenrecidae	echTel2	9369
Horse	Equus ferus caballus	equCab1	9796
Horse	Equus ferus caballus	equCab2	9796
Hedgehog	Erinaceus europaeus	eriEur1	9365
Hedgehog	Erinaceus europaeus	eriEur2	9365
Cat	Felis catus	felCat3	9685
Cat	Felis catus	felCat4	9685
Cat	Felis catus	felCat5	9685
Fugu	Takifugu rubripes	fr1	31033
Fugu	Takifugu rubripes	fr2	31033
Fugu	Takifugu rubripes	fr3	31033
Atlantic cod	Gadus morhua	gadMor1	8049
Chicken	Gallus gallus	galGal2	9031
Chicken	Gallus gallus	galGal3	9031
Chicken	Gallus gallus	galGal4	9031
Stickleback	Gasterosteus aculeatus	gasAcu1	69293
Medium ground finch	Geospiza fortis	geoFor1	48883
Gorilla	Gorilla gorilla gorilla	gorGor1	9595
Gorilla	Gorilla gorilla gorilla	gorGor3	9595
Naked mole-rat	Heterocephalus glaber	hetGla1	10181
Naked mole rat	Heterocephalus glaber	hetGla2	10181
Human	Homo sapiens	hg15	9606
Human	Homo sapiens	hg16	9606
Human	Homo sapiens	hg17	9606
Human	Homo sapiens	hg18	9606
Human	Homo sapiens	hg19	9606
Human	Homo sapiens	hg38	9606
Coelacanth	Latimeria chalumnae	latCha1	7897
Elephant	Loxodonta africana	loxAfr1	9785
Elephant	Loxodonta africana	loxAfr3	9785
Wallaby	Macropus eugenii	macEug1	9315
Tammar wallaby	Macropus eugenii	macEug2	9315
Turkey	Meleagris gallopavo	melGal1	9103
Budgerigar	Melopsittacus undulatus	melUnd1	13146
Mouse lemur	Microcebus murinus	micMur1	30608
Mouse	Mus musculus	mm10	10090
Mouse	Mus musculus	mm4	10090
Mouse	Mus musculus	mm5	10090
Mouse	Mus musculus	mm6	10090
Mouse	Mus musculus	mm7	10090
Mouse	Mus musculus	mm8	10090
Mouse	Mus musculus	mm9	10090
Gray short-tailed opossum	Monodelphis domestica	monDom1	13616
Gray short-tailed opossum	Monodelphis domestica	monDom4	13616
Gray short-tailed opossum	Monodelphis domestica	monDom5	13616
Ferret	Mustela putorius furo	musFur1	9669
Microbat	Myotis lucifugus	myoLuc1	59463
Microbat	Myotis lucifugus	myoLuc2	59463
Gibbon	Nomascus leucogenys	nomLeu1	61853
 Gibbon	Nomascus leucogenys	nomLeu2	61853
 Gibbon	Nomascus leucogenys	nomLeu3	61853
