chrom	size	circular
chr1	123556469	FALSE
chr2	84979418	FALSE
chr3	92479059	FALSE
chr4	89535178	FALSE
chr5	89562946	FALSE
chr6	78113029	FALSE
chr7	81081596	FALSE
chr8	76405709	FALSE
chr9	61171909	FALSE
chr10	70643054	FALSE
chr11	74805798	FALSE
chr12	72970719	FALSE
chr13	64299765	FALSE
chr14	61112200	FALSE
chr15	64676183	FALSE
chr16	60362399	FALSE
chr17	65088165	FALSE
chr18	56472973	FALSE
chr19	55516201	FALSE
chr20	58627490	FALSE
chr21	51742555	FALSE
chr22	61573679	FALSE
chr23	53134997	FALSE
chr24	48566227	FALSE
chr25	51730745	FALSE
chr26	39257614	FALSE
chr27	46662488	FALSE
chr28	41733330	FALSE
chr29	42517134	FALSE
chr30	40643782	FALSE
chr31	39901454	FALSE
chr32	40225481	FALSE
chr33	32139216	FALSE
chr34	42397973	FALSE
chr35	28051305	FALSE
chr36	31223415	FALSE
chr37	30785915	FALSE
chr38	24803098	FALSE
chrX	124992030	FALSE
chrM	16728	TRUE
