SequenceName	SequenceRole	AssignedMolecule	GenBankAccn	Relationship	RefSeqAccn	AssemblyUnit	SequenceLength	UCSCStyleName	circular
X	assembled-molecule	X	AE014298.5	=	NC_004354.4	Primary Assembly	23542271	chrX	FALSE
2L	assembled-molecule	2L	AE014134.6	=	NT_033779.5	Primary Assembly	23513712	chr2L	FALSE
2R	assembled-molecule	2R	AE013599.5	=	NT_033778.4	Primary Assembly	25286936	chr2R	FALSE
3L	assembled-molecule	3L	AE014296.5	=	NT_037436.4	Primary Assembly	28110227	chr3L	FALSE
3R	assembled-molecule	3R	AE014297.3	=	NT_033777.3	Primary Assembly	32079331	chr3R	FALSE
4	assembled-molecule	4	AE014135.4	=	NC_004353.4	Primary Assembly	1348131	chr4	FALSE
Y	assembled-molecule	Y	CP007106.1	=	NC_024512.1	Primary Assembly	3667352	chrY	FALSE
mitochondrion_genome	assembled-molecule	NA	KJ947872.2	=	NC_024511.2	non-nuclear	19524	chrM	TRUE
X3X4_mapped_Scaffold_6_D1712	unlocalized-scaffold	X	CP007103.1	=	NW_007931105.1	Primary Assembly	33320	chrX_CP007103v1_random	FALSE
X3X4_mapped_Scaffold_14_D1732	unlocalized-scaffold	X	CP007104.1	=	NW_007931106.1	Primary Assembly	27447	chrX_CP007104v1_random	FALSE
211000022278498	unlocalized-scaffold	X	DS483648.1	=	NW_001844937.1	Primary Assembly	13940	chrX_DS483648v1_random	FALSE
211000022279009	unlocalized-scaffold	X	DS483655.1	=	NW_001844944.1	Primary Assembly	13549	chrX_DS483655v1_random	FALSE
211000022280042	unlocalized-scaffold	X	DS483660.1	=	NW_001844949.1	Primary Assembly	13394	chrX_DS483660v1_random	FALSE
211000022279446	unlocalized-scaffold	X	DS483665.1	=	NW_001844954.1	Primary Assembly	13234	chrX_DS483665v1_random	FALSE
211000022280270	unlocalized-scaffold	X	DS483666.1	=	NW_001844955.1	Primary Assembly	13108	chrX_DS483666v1_random	FALSE
211000022279008	unlocalized-scaffold	X	DS483669.1	=	NW_001844958.1	Primary Assembly	12848	chrX_DS483669v1_random	FALSE
211000022279676	unlocalized-scaffold	X	DS483685.1	=	NW_001844974.1	Primary Assembly	12187	chrX_DS483685v1_random	FALSE
211000022279836	unlocalized-scaffold	X	DS483698.1	=	NW_001844987.1	Primary Assembly	11522	chrX_DS483698v1_random	FALSE
211000022280526	unlocalized-scaffold	X	DS483745.1	=	NW_001845034.1	Primary Assembly	9368	chrX_DS483745v1_random	FALSE
211000022279563	unlocalized-scaffold	X	DS483784.1	=	NW_001845073.1	Primary Assembly	5832	chrX_DS483784v1_random	FALSE
211000022279955	unlocalized-scaffold	X	DS483789.1	=	NW_001845078.1	Primary Assembly	5555	chrX_DS483789v1_random	FALSE
211000022280241	unlocalized-scaffold	X	DS483795.1	=	NW_001845084.1	Primary Assembly	5387	chrX_DS483795v1_random	FALSE
