chrom	size	circular
chr1	228333871	FALSE
chr2A	113622374	FALSE
chr2B	247518478	FALSE
chr3	202329955	FALSE
chr4	193495092	FALSE
chr5	182651097	FALSE
chr6	172623881	FALSE
chr7	161824586	FALSE
chr8	143986469	FALSE
chr9	137840987	FALSE
chr10	133524379	FALSE
chr11	133121534	FALSE
chr12	134246214	FALSE
chr13	115123233	FALSE
chr14	106544938	FALSE
chr15	99548318	FALSE
chr16	89983829	FALSE
chr17	82630442	FALSE
chr18	76611499	FALSE
chr19	63644993	FALSE
chr20	61729293	FALSE
chr21	32799110	FALSE
chr22	49737984	FALSE
chrX	156848144	FALSE
chrY	26342871	FALSE
chrM	16554	TRUE
