chrom	size	circular
chr1	260522016	FALSE
chr2	249053267	FALSE
chr3	169034231	FALSE
chr4	182687754	FALSE
chr5	166875058	FALSE
chr6	140994061	FALSE
chr7	135012528	FALSE
chr8	123900184	FALSE
chr9	114175309	FALSE
chr10	107211142	FALSE
chr11	86241447	FALSE
chr12	46669029	FALSE
chr13	106807694	FALSE
chr14	104886043	FALSE
chr15	101769107	FALSE
chr16	84729064	FALSE
chr17	86533673	FALSE
chr18	83828827	FALSE
chr19	57337602	FALSE
chr20	54435887	FALSE
chrX	152453651	FALSE
chrY	18315841	FALSE
chrM	16313	TRUE
