chrom	size	circular
chr1	249250621	FALSE
chr2	243199373	FALSE
chr3	198022430	FALSE
chr4	191154276	FALSE
chr5	180915260	FALSE
chr6	171115067	FALSE
chr7	159138663	FALSE
chr8	146364022	FALSE
chr9	141213431	FALSE
chr10	135534747	FALSE
chr11	135006516	FALSE
chr12	133851895	FALSE
chr13	115169878	FALSE
chr14	107349540	FALSE
chr15	102531392	FALSE
chr16	90354753	FALSE
chr17	81195210	FALSE
chr18	78077248	FALSE
chr19	59128983	FALSE
chr20	63025520	FALSE
chr21	48129895	FALSE
chr22	51304566	FALSE
chrX	155270560	FALSE
chrY	59373566	FALSE
chrM	16571	TRUE
chrMT	16569	TRUE
