chrom	size	assembled	circular
chr2L	23513712	TRUE	FALSE
chr2R	25286936	TRUE	FALSE
chr3L	28110227	TRUE	FALSE
chr3R	32079331	TRUE	FALSE
chr4	1348131	TRUE	FALSE
chrX	23542271	TRUE	FALSE
chrY	3667352	TRUE	FALSE
chrM	19524	TRUE	TRUE
chrX_CP007103v1_random	33320	FALSE	FALSE
chrX_CP007104v1_random	27447	FALSE	FALSE
chrX_DS483648v1_random	13940	FALSE	FALSE
chrX_DS483655v1_random	13549	FALSE	FALSE
chrX_DS483660v1_random	13394	FALSE	FALSE
chrX_DS483665v1_random	13234	FALSE	FALSE
chrX_DS483666v1_random	13108	FALSE	FALSE
chrX_DS483669v1_random	12848	FALSE	FALSE
chrX_DS483685v1_random	12187	FALSE	FALSE
chrX_DS483698v1_random	11522	FALSE	FALSE
chrX_DS483745v1_random	9368	FALSE	FALSE
chrX_DS483784v1_random	5832	FALSE	FALSE
chrX_DS483789v1_random	5555	FALSE	FALSE
chrX_DS483795v1_random	5387	FALSE	FALSE
chrX_DS483803v1_random	5232	FALSE	FALSE
chrX_DS483809v1_random	5057	FALSE	FALSE
chrX_DS483818v1_random	4917	FALSE	FALSE
chrX_DS483821v1_random	4879	FALSE	FALSE
chrX_DS483843v1_random	4515	FALSE	FALSE
chrX_DS483851v1_random	4395	FALSE	FALSE
chrX_DS483885v1_random	4085	FALSE	FALSE
chrX_DS483888v1_random	4072	FALSE	FALSE
chrX_DS483892v1_random	4013	FALSE	FALSE
chrX_DS483893v1_random	4012	FALSE	FALSE
chrX_DS483897v1_random	3984	FALSE	FALSE
chrX_DS483903v1_random	3941	FALSE	FALSE
chrX_DS483905v1_random	3926	FALSE	FALSE
chrX_DS483907v1_random	3921	FALSE	FALSE
chrX_DS483909v1_random	3913	FALSE	FALSE
chrX_DS483923v1_random	3775	FALSE	FALSE
chrX_DS483926v1_random	3745	FALSE	FALSE
chrX_DS483928v1_random	3730	FALSE	FALSE
chrX_DS483946v1_random	3603	FALSE	FALSE
chrX_DS483948v1_random	3602	FALSE	FALSE
chrX_DS483950v1_random	3582	FALSE	FALSE
chrX_DS483955v1_random	3553	FALSE	FALSE
chrX_DS483963v1_random	3523	FALSE	FALSE
chrX_DS483969v1_random	3498	FALSE	FALSE
chrX_DS483971v1_random	3478	FALSE	FALSE
chrX_DS483974v1_random	3473	FALSE	FALSE
chrX_DS483995v1_random	3347	FALSE	FALSE
chrX_DS484002v1_random	3290	FALSE	FALSE
chrX_DS484005v1_random	3275	FALSE	FALSE
chrX_DS484012v1_random	3254	FALSE	FALSE
chrX_DS484023v1_random	3206	FALSE	FALSE
chrX_DS484026v1_random	3201	FALSE	FALSE
chrX_DS484046v1_random	3123	FALSE	FALSE
chrX_DS484051v1_random	3100	FALSE	FALSE
chrX_DS484057v1_random	3076	FALSE	FALSE
chrX_DS484060v1_random	3065	FALSE	FALSE
chrX_DS484061v1_random	3059	FALSE	FALSE
chrX_DS484067v1_random	3024	FALSE	FALSE
chrX_DS484072v1_random	3002	FALSE	FALSE
chrX_DS484074v1_random	2999	FALSE	FALSE
chrX_DS484075v1_random	2996	FALSE	FALSE
chrX_DS484081v1_random	2964	FALSE	FALSE
chrX_DS484084v1_random	2956	FALSE	FALSE
chrX_DS484085v1_random	2945	FALSE	FALSE
chrX_DS484088v1_random	2937	FALSE	FALSE
chrX_DS484099v1_random	2910	FALSE	FALSE
chrX_DS484101v1_random	2904	FALSE	FALSE
chrX_DS484112v1_random	2877	FALSE	FALSE
chrX_DS484114v1_random	2871	FALSE	FALSE
chrX_DS484124v1_random	2846	FALSE	FALSE
chrX_DS484125v1_random	2844	FALSE	FALSE
chrX_DS484126v1_random	2841	FALSE	FALSE
chrX_DS484130v1_random	2834	FALSE	FALSE
chrX_DS484131v1_random	2833	FALSE	FALSE
chrX_DS484132v1_random	2830	FALSE	FALSE
chrX_DS484133v1_random	2829	FALSE	FALSE
chrX_DS484135v1_random	2825	FALSE	FALSE
chrX_DS484136v1_random	2823	FALSE	FALSE
chrX_DS484137v1_random	2822	FALSE	FALSE
chrX_DS484140v1_random	2819	FALSE	FALSE
chrX_DS484143v1_random	2814	FALSE	FALSE
chrX_DS484161v1_random	2781	FALSE	FALSE
chrX_DS484162v1_random	2765	FALSE	FALSE
chrX_DS484165v1_random	2751	FALSE	FALSE
chrX_DS484166v1_random	2750	FALSE	FALSE
chrX_DS484178v1_random	2698	FALSE	FALSE
chrX_DS484182v1_random	2689	FALSE	FALSE
chrX_DS484185v1_random	2686	FALSE	FALSE
chrX_DS484187v1_random	2671	FALSE	FALSE
chrX_DS484198v1_random	2641	FALSE	FALSE
chrX_DS484200v1_random	2639	FALSE	FALSE
chrX_DS484201v1_random	2637	FALSE	FALSE
chrX_DS484203v1_random	2635	FALSE	FALSE
chrX_DS484215v1_random	2605	FALSE	FALSE
chrX_DS484216v1_random	2603	FALSE	FALSE
chrX_DS484219v1_random	2591	FALSE	FALSE
chrX_DS484235v1_random	2557	FALSE	FALSE
chrX_DS484252v1_random	2520	FALSE	FALSE
chrX_DS484260v1_random	2505	FALSE	FALSE
chrX_DS484261v1_random	2500	FALSE	FALSE
chrX_DS484268v1_random	2475	FALSE	FALSE
chrX_DS484272v1_random	2464	FALSE	FALSE
chrX_DS484273v1_random	2463	FALSE	FALSE
chrX_DS484278v1_random	2439	FALSE	FALSE
chrX_DS484284v1_random	2432	FALSE	FALSE
chrX_DS484288v1_random	2425	FALSE	FALSE
chrX_DS484293v1_random	2420	FALSE	FALSE
chrX_DS484297v1_random	2413	FALSE	FALSE
chrX_DS484298v1_random	2412	FALSE	FALSE
chrX_DS484305v1_random	2389	FALSE	FALSE
chrX_DS484316v1_random	2379	FALSE	FALSE
chrX_DS484319v1_random	2372	FALSE	FALSE
chrX_DS484322v1_random	2366	FALSE	FALSE
chrX_DS484323v1_random	2363	FALSE	FALSE
chrX_DS484326v1_random	2357	FALSE	FALSE
chrX_DS484328v1_random	2355	FALSE	FALSE
chrX_DS484330v1_random	2353	FALSE	FALSE
chrX_DS484337v1_random	2335	FALSE	FALSE
chrX_DS484341v1_random	2328	FALSE	FALSE
chrX_DS484344v1_random	2322	FALSE	FALSE
chrX_DS484345v1_random	2318	FALSE	FALSE
chrX_DS484346v1_random	2317	FALSE	FALSE
chrX_DS484349v1_random	2307	FALSE	FALSE
chrX_DS484354v1_random	2293	FALSE	FALSE
chrX_DS484356v1_random	2289	FALSE	FALSE
chrX_DS484357v1_random	2287	FALSE	FALSE
chrX_DS484358v1_random	2286	FALSE	FALSE
chrX_DS484359v1_random	2284	FALSE	FALSE
chrX_DS484360v1_random	2283	FALSE	FALSE
