chrom	size	circular
chr1	158534110	FALSE
chr2	136231102	FALSE
chr3	121005158	FALSE
chr4	120000601	FALSE
chr5	120089316	FALSE
chr6	117806340	FALSE
chr7	110682743	FALSE
chr8	113319770	FALSE
chr9	105454467	FALSE
chr10	103308737	FALSE
chr11	106982474	FALSE
chr12	87216183	FALSE
chr13	83472345	FALSE
chr14	82403003	FALSE
chr15	85007780	FALSE
chr16	81013979	FALSE
chr17	73167244	FALSE
chr18	65820629	FALSE
chr19	63449741	FALSE
chr20	71974595	FALSE
chr21	69862954	FALSE
chr22	60773035	FALSE
chr23	52498615	FALSE
chr24	62317253	FALSE
chr25	42350435	FALSE
chr26	51992305	FALSE
chr27	45612108	FALSE
chr28	45940150	FALSE
chr29	51098607	FALSE
chrX	139009144	FALSE
chrM	16338	TRUE
