chrom	size	circular
chr1	248956422	FALSE
chr2	242193529	FALSE
chr3	198295559	FALSE
chr4	190214555	FALSE
chr5	181538259	FALSE
chr6	170805979	FALSE
chr7	159345973	FALSE
chr8	145138636	FALSE
chr9	138394717	FALSE
chr10	133797422	FALSE
chr11	135086622	FALSE
chr12	133275309	FALSE
chr13	114364328	FALSE
chr14	107043718	FALSE
chr15	101991189	FALSE
chr16	90338345	FALSE
chr17	83257441	FALSE
chr18	80373285	FALSE
chr19	58617616	FALSE
chr20	64444167	FALSE
chr21	46709983	FALSE
chr22	50818468	FALSE
chrX	156040895	FALSE
chrY	57227415	FALSE
chrM	16569	TRUE
