chrom	size	assembled	circular
chr1	248956422	TRUE	FALSE
chr2	242193529	TRUE	FALSE
chr3	198295559	TRUE	FALSE
chr4	190214555	TRUE	FALSE
chr5	181538259	TRUE	FALSE
chr6	170805979	TRUE	FALSE
chr7	159345973	TRUE	FALSE
chr8	145138636	TRUE	FALSE
chr9	138394717	TRUE	FALSE
chr10	133797422	TRUE	FALSE
chr11	135086622	TRUE	FALSE
chr12	133275309	TRUE	FALSE
chr13	114364328	TRUE	FALSE
chr14	107043718	TRUE	FALSE
chr15	101991189	TRUE	FALSE
chr16	90338345	TRUE	FALSE
chr17	83257441	TRUE	FALSE
chr18	80373285	TRUE	FALSE
chr19	58617616	TRUE	FALSE
chr20	64444167	TRUE	FALSE
chr21	46709983	TRUE	FALSE
chr22	50818468	TRUE	FALSE
chrX	156040895	TRUE	FALSE
chrY	57227415	TRUE	FALSE
chrM	16569	TRUE	TRUE
chr1_GL383518v1_alt	182439	FALSE	FALSE
chr1_GL383519v1_alt	110268	FALSE	FALSE
chr1_GL383520v2_alt	366580	FALSE	FALSE
chr1_KI270759v1_alt	425601	FALSE	FALSE
chr1_KI270760v1_alt	109528	FALSE	FALSE
chr1_KI270761v1_alt	165834	FALSE	FALSE
chr1_KI270762v1_alt	354444	FALSE	FALSE
chr1_KI270763v1_alt	911658	FALSE	FALSE
chr1_KI270764v1_alt	50258	FALSE	FALSE
chr1_KI270765v1_alt	185285	FALSE	FALSE
chr1_KI270766v1_alt	256271	FALSE	FALSE
chr1_KI270892v1_alt	162212	FALSE	FALSE
chr2_GL383521v1_alt	143390	FALSE	FALSE
chr2_GL383522v1_alt	123821	FALSE	FALSE
chr2_GL582966v2_alt	96131	FALSE	FALSE
chr2_KI270767v1_alt	161578	FALSE	FALSE
chr2_KI270768v1_alt	110099	FALSE	FALSE
chr2_KI270769v1_alt	120616	FALSE	FALSE
chr2_KI270770v1_alt	136240	FALSE	FALSE
chr2_KI270771v1_alt	110395	FALSE	FALSE
chr2_KI270772v1_alt	133041	FALSE	FALSE
chr2_KI270773v1_alt	70887	FALSE	FALSE
chr2_KI270774v1_alt	223625	FALSE	FALSE
chr2_KI270775v1_alt	138019	FALSE	FALSE
chr2_KI270776v1_alt	174166	FALSE	FALSE
chr2_KI270893v1_alt	161218	FALSE	FALSE
chr2_KI270894v1_alt	214158	FALSE	FALSE
chr3_GL383526v1_alt	180671	FALSE	FALSE
chr3_JH636055v2_alt	173151	FALSE	FALSE
chr3_KI270777v1_alt	173649	FALSE	FALSE
chr3_KI270778v1_alt	248252	FALSE	FALSE
chr3_KI270779v1_alt	205312	FALSE	FALSE
chr3_KI270780v1_alt	224108	FALSE	FALSE
chr3_KI270781v1_alt	113034	FALSE	FALSE
chr3_KI270782v1_alt	162429	FALSE	FALSE
chr3_KI270783v1_alt	109187	FALSE	FALSE
chr3_KI270784v1_alt	184404	FALSE	FALSE
chr3_KI270895v1_alt	162896	FALSE	FALSE
chr3_KI270924v1_alt	166540	FALSE	FALSE
chr3_KI270934v1_alt	163458	FALSE	FALSE
chr3_KI270935v1_alt	197351	FALSE	FALSE
chr3_KI270936v1_alt	164170	FALSE	FALSE
chr3_KI270937v1_alt	165607	FALSE	FALSE
chr4_GL000257v2_alt	586476	FALSE	FALSE
chr4_GL383527v1_alt	164536	FALSE	FALSE
chr4_GL383528v1_alt	376187	FALSE	FALSE
chr4_KI270785v1_alt	119912	FALSE	FALSE
chr4_KI270786v1_alt	244096	FALSE	FALSE
chr4_KI270787v1_alt	111943	FALSE	FALSE
chr4_KI270788v1_alt	158965	FALSE	FALSE
chr4_KI270789v1_alt	205944	FALSE	FALSE
chr4_KI270790v1_alt	220246	FALSE	FALSE
chr4_KI270896v1_alt	378547	FALSE	FALSE
chr4_KI270925v1_alt	555799	FALSE	FALSE
chr5_GL339449v2_alt	1612928	FALSE	FALSE
chr5_GL383530v1_alt	101241	FALSE	FALSE
chr5_GL383531v1_alt	173459	FALSE	FALSE
chr5_GL383532v1_alt	82728	FALSE	FALSE
chr5_GL949742v1_alt	226852	FALSE	FALSE
chr5_KI270791v1_alt	195710	FALSE	FALSE
chr5_KI270792v1_alt	179043	FALSE	FALSE
chr5_KI270793v1_alt	126136	FALSE	FALSE
chr5_KI270794v1_alt	164558	FALSE	FALSE
chr5_KI270795v1_alt	131892	FALSE	FALSE
chr5_KI270796v1_alt	172708	FALSE	FALSE
chr5_KI270897v1_alt	1144418	FALSE	FALSE
chr5_KI270898v1_alt	130957	FALSE	FALSE
chr6_GL000250v2_alt	4672374	FALSE	FALSE
chr6_GL000251v2_alt	4795265	FALSE	FALSE
chr6_GL000252v2_alt	4604811	FALSE	FALSE
chr6_GL000253v2_alt	4677643	FALSE	FALSE
chr6_GL000254v2_alt	4827813	FALSE	FALSE
chr6_GL000255v2_alt	4606388	FALSE	FALSE
chr6_GL000256v2_alt	4929269	FALSE	FALSE
chr6_GL383533v1_alt	124736	FALSE	FALSE
chr6_KB021644v2_alt	185823	FALSE	FALSE
chr6_KI270758v1_alt	76752	FALSE	FALSE
chr6_KI270797v1_alt	197536	FALSE	FALSE
chr6_KI270798v1_alt	271782	FALSE	FALSE
chr6_KI270799v1_alt	152148	FALSE	FALSE
chr6_KI270800v1_alt	175808	FALSE	FALSE
chr6_KI270801v1_alt	870480	FALSE	FALSE
chr6_KI270802v1_alt	75005	FALSE	FALSE
chr7_GL383534v2_alt	119183	FALSE	FALSE
chr7_KI270803v1_alt	1111570	FALSE	FALSE
chr7_KI270804v1_alt	157952	FALSE	FALSE
chr7_KI270805v1_alt	209988	FALSE	FALSE
chr7_KI270806v1_alt	158166	FALSE	FALSE
chr7_KI270807v1_alt	126434	FALSE	FALSE
chr7_KI270808v1_alt	271455	FALSE	FALSE
chr7_KI270809v1_alt	209586	FALSE	FALSE
chr7_KI270899v1_alt	190869	FALSE	FALSE
chr8_KI270810v1_alt	374415	FALSE	FALSE
