chrom	size	circular
chr1	225584828	FALSE
chr2	204787373	FALSE
chr3	185818997	FALSE
chr4	172585720	FALSE
chr5	190429646	FALSE
chr6	180051392	FALSE
chr7	169600520	FALSE
chr8	144306982	FALSE
chr9	129882849	FALSE
chr10	92844088	FALSE
chr11	133663169	FALSE
chr12	125506784	FALSE
chr13	108979918	FALSE
chr14	127894412	FALSE
chr15	111343173	FALSE
chr16	77216781	FALSE
chr17	95684472	FALSE
chr18	70235451	FALSE
chr19	53671032	FALSE
chr20	74971481	FALSE
chrX	149150640	FALSE
chrY	11753682	FALSE
chrM	16564	TRUE
