chrom	size	assembled	circular
chr1	195154279	TRUE	FALSE
chr2	181755017	TRUE	FALSE
chr3	159745316	TRUE	FALSE
chr4	156860686	TRUE	FALSE
chr5	151758149	TRUE	FALSE
chr6	149588044	TRUE	FALSE
chr7	144995196	TRUE	FALSE
chr8	130127694	TRUE	FALSE
chr9	124359700	TRUE	FALSE
chr10	130530862	TRUE	FALSE
chr11	121973369	TRUE	FALSE
chr12	120092757	TRUE	FALSE
chr13	120883175	TRUE	FALSE
chr14	125139656	TRUE	FALSE
chr15	104073951	TRUE	FALSE
chr16	98008968	TRUE	FALSE
chr17	95294699	TRUE	FALSE
chr18	90720763	TRUE	FALSE
chr19	61420004	TRUE	FALSE
chrX	169476592	TRUE	FALSE
chrY	91455967	TRUE	FALSE
chrM	16299	TRUE	TRUE
chr1_GL456210v1_random	169725	FALSE	FALSE
chr1_GL456211v1_random	241735	FALSE	FALSE
chr1_GL456212v1_random	153618	FALSE	FALSE
chr1_GL456221v1_random	206961	FALSE	FALSE
chr1_GL456239v1_random	40056	FALSE	FALSE
chr1_MU069434v1_random	8412	FALSE	FALSE
chr4_JH584295v1_random	1976	FALSE	FALSE
chr5_GL456354v1_random	195993	FALSE	FALSE
chr5_JH584296v1_random	199368	FALSE	FALSE
chr5_JH584297v1_random	205776	FALSE	FALSE
chr5_JH584298v1_random	184189	FALSE	FALSE
chr5_JH584299v1_random	953012	FALSE	FALSE
chr7_GL456219v1_random	175968	FALSE	FALSE
chrX_GL456233v2_random	559103	FALSE	FALSE
chrY_JH584300v1_random	182347	FALSE	FALSE
chrY_JH584301v1_random	259875	FALSE	FALSE
chrY_JH584302v1_random	155838	FALSE	FALSE
chrY_JH584303v1_random	158099	FALSE	FALSE
chrUn_GL456359v1	22974	FALSE	FALSE
chrUn_GL456360v1	31704	FALSE	FALSE
chrUn_GL456366v1	47073	FALSE	FALSE
chrUn_GL456367v1	42057	FALSE	FALSE
chrUn_GL456368v1	20208	FALSE	FALSE
chrUn_GL456370v1	26764	FALSE	FALSE
chrUn_GL456372v1	28664	FALSE	FALSE
chrUn_GL456378v1	31602	FALSE	FALSE
chrUn_GL456379v1	72385	FALSE	FALSE
chrUn_GL456381v1	25871	FALSE	FALSE
chrUn_GL456382v1	23158	FALSE	FALSE
chrUn_GL456383v1	38659	FALSE	FALSE
chrUn_GL456385v1	35240	FALSE	FALSE
chrUn_GL456387v1	24685	FALSE	FALSE
chrUn_GL456389v1	28772	FALSE	FALSE
chrUn_GL456390v1	24668	FALSE	FALSE
chrUn_GL456392v1	23629	FALSE	FALSE
chrUn_GL456394v1	24323	FALSE	FALSE
chrUn_GL456396v1	21240	FALSE	FALSE
chrUn_JH584304v1	114452	FALSE	FALSE
chrUn_MU069435v1	31129	FALSE	FALSE
