chrom	size	circular
chr1	223616942	FALSE
chr2	196197964	FALSE
chr3	185288947	FALSE
chr4	169963040	FALSE
chr5	187317192	FALSE
chr6	179085566	FALSE
chr7	169868564	FALSE
chr8	145679320	FALSE
chr9	134124166	FALSE
chr10	99517758	FALSE
chr11	133066086	FALSE
chr12	130043856	FALSE
chr13	108737130	FALSE
chr14	128056306	FALSE
chr15	113283604	FALSE
chr16	79627064	FALSE
chr17	95433459	FALSE
chr18	74474043	FALSE
chr19	58315233	FALSE
chr20	77137495	FALSE
chrX	153388924	FALSE
chrY	11753682	FALSE
chrM	16564	TRUE
