chrom	size	circular
chr1	197608386	FALSE
chr2	149682049	FALSE
chr3	110838418	FALSE
chr4	91315245	FALSE
chr5	59809098	FALSE
chr6	36374701	FALSE
chr7	36742308	FALSE
chr8	30219446	FALSE
chr9	24153086	FALSE
chr10	21119840	FALSE
chr11	20200042	FALSE
chr12	20387278	FALSE
chr13	19166714	FALSE
chr14	16219308	FALSE
chr15	13062184	FALSE
chr16	2844601	FALSE
chr17	10762512	FALSE
chr18	11373140	FALSE
chr19	10323212	FALSE
chr20	13897287	FALSE
chr21	6844979	FALSE
chr22	5459462	FALSE
chr23	6149580	FALSE
chr24	6491222	FALSE
chr25	3980610	FALSE
chr26	6055710	FALSE
chr27	8080432	FALSE
chr28	5116882	FALSE
chr30	1818525	FALSE
chr31	6153034	FALSE
chr32	725831	FALSE
chr33	7821666	FALSE
chrW	6813114	FALSE
chrZ	82529921	FALSE
chrM	16775	TRUE
