chrom	size	circular
chr1	158337067	FALSE
chr2	137060424	FALSE
chr3	121430405	FALSE
chr4	120829699	FALSE
chr5	121191424	FALSE
chr6	119458736	FALSE
chr7	112638659	FALSE
chr8	113384836	FALSE
chr9	105708250	FALSE
chr10	104305016	FALSE
chr11	107310763	FALSE
chr12	91163125	FALSE
chr13	84240350	FALSE
chr14	84648390	FALSE
chr15	85296676	FALSE
chr16	81724687	FALSE
chr17	75158596	FALSE
chr18	66004023	FALSE
chr19	64057457	FALSE
chr20	72042655	FALSE
chr21	71599096	FALSE
chr22	61435874	FALSE
chr23	52530062	FALSE
chr24	62714930	FALSE
chr25	42904170	FALSE
chr26	51681464	FALSE
chr27	45407902	FALSE
chr28	46312546	FALSE
chr29	51505224	FALSE
chrX	148823899	FALSE
chrM	16338	TRUE
