chrom	size	circular
chr1	248387328	FALSE
chr2	242696752	FALSE
chr3	201105948	FALSE
chr4	193574945	FALSE
chr5	182045439	FALSE
chr6	172126628	FALSE
chr7	160567428	FALSE
chr8	146259331	FALSE
chr9	150617247	FALSE
chr10	134758134	FALSE
chr11	135127769	FALSE
chr12	133324548	FALSE
chr13	113566686	FALSE
chr14	101161492	FALSE
chr15	99753195	FALSE
chr16	96330374	FALSE
chr17	84276897	FALSE
chr18	80542538	FALSE
chr19	61707364	FALSE
chr20	66210255	FALSE
chr21	45090682	FALSE
chr22	51324926	FALSE
chrX	154259566	FALSE
chrY	62460029	FALSE
chrM	16569	TRUE
