circular	auto	sex	NCBI	UCSC
F	T	F	1	chr1
F	T	F	2	chr2
F	T	F	3	chr3
F	T	F	4	chr4
F	T	F	5	chr5
F	T	F	6	chr6
F	T	F	7	chr7
F	T	F	8	chr8
F	T	F	9	chr9
F	T	F	10	chr10
F	T	F	11	chr11
F	T	F	12	chr12
F	T	F	13	chr13
F	T	F	14	chr14
F	T	F	15	chr15
F	T	F	16	chr16
F	T	F	17	chr17
F	T	F	18	chr18
F	T	F	19	chr19
F	T	F	20	chr20
F	T	F	21	chr21
F	T	F	22	chr22
F	T	F	23	chr23
F	T	F	24	chr24
F	T	F	25	chr25
F	T	F	26	chr26
F	T	F	27	chr27
F	T	F	28	chr28
F	T	F	29	chr29
F	T	F	30	chr30
F	T	F	31	chr31
F	T	F	32	chr32
F	T	F	33	chr33
F	T	F	34	chr34
F	T	F	35	chr35
F	T	F	36	chr36
F	T	F	37	chr37
F	T	F	38	chr38
F	F	T	X	chrX
F	F	T	Y	chrY
T	F	F	MT	chrM
