chrom	size	circular
chr1	247249719	FALSE
chr2	242951149	FALSE
chr3	199501827	FALSE
chr4	191273063	FALSE
chr5	180857866	FALSE
chr6	170899992	FALSE
chr7	158821424	FALSE
chr8	146274826	FALSE
chr9	140273252	FALSE
chr10	135374737	FALSE
chr11	134452384	FALSE
chr12	132349534	FALSE
chr13	114142980	FALSE
chr14	106368585	FALSE
chr15	100338915	FALSE
chr16	88827254	FALSE
chr17	78774742	FALSE
chr18	76117153	FALSE
chr19	63811651	FALSE
chr20	62435964	FALSE
chr21	46944323	FALSE
chr22	49691432	FALSE
chrX	154913754	FALSE
chrY	57772954	FALSE
chrM	16571	TRUE
