chrom	size	circular
chr1	196202544	FALSE
chr2	149560735	FALSE
chr3	111302122	FALSE
chr4	91282656	FALSE
chr5	59825302	FALSE
chr6	35467016	FALSE
chr7	36946936	FALSE
chr8	29963013	FALSE
chr9	24091566	FALSE
chr10	20435342	FALSE
chr11	20218793	FALSE
chr12	19948154	FALSE
chr13	18407460	FALSE
chr14	15595052	FALSE
chr15	12762846	FALSE
chr16	652338	FALSE
chr17	10956400	FALSE
chr18	11053727	FALSE
chr19	9979828	FALSE
chr20	14109371	FALSE
chr21	6862722	FALSE
chr22	4729743	FALSE
chr23	5786528	FALSE
chr24	6280547	FALSE
chr25	2906300	FALSE
chr26	5313770	FALSE
chr27	5655794	FALSE
chr28	4974273	FALSE
chr30	24927	FALSE
chr31	49161	FALSE
chr32	78254	FALSE
chr33	1648031	FALSE
chrW	5160035	FALSE
chrZ	82310166	FALSE
chrLGE64	897576	FALSE
chrM	16775	TRUE
