chrom	size	circular
chr1	219763114	FALSE
chr2A	107978307	FALSE
chr2B	127988552	FALSE
chr3	193158673	FALSE
chr4	187801456	FALSE
chr5	160656230	FALSE
chr6	168483175	FALSE
chr7	148261789	FALSE
chr8	140819930	FALSE
chr9	107756877	FALSE
chr10	127481205	FALSE
chr11	118287947	FALSE
chr12	128803207	FALSE
chr13	92570210	FALSE
chr14	87619771	FALSE
chr15	76908023	FALSE
chr16	74389185	FALSE
chr17	90905695	FALSE
chr18	73862527	FALSE
chr19	48390056	FALSE
chr20	60378084	FALSE
chr21	32685706	FALSE
chr22	32715551	FALSE
chrX	149490469	FALSE
chrM	16412	TRUE
