chrom	size	circular
chr1	228573443	FALSE
chr2A	111504155	FALSE
chr2B	133216015	FALSE
chr3	202621043	FALSE
chr4	194502333	FALSE
chr5	181907262	FALSE
chr6	175400573	FALSE
chr7	166211670	FALSE
chr8	147911612	FALSE
chr9	116767853	FALSE
chr10	135926727	FALSE
chr11	135753878	FALSE
chr12	137163284	FALSE
chr13	100452976	FALSE
chr14	91965084	FALSE
chr15	83230942	FALSE
chr16	81586097	FALSE
chr17	83181570	FALSE
chr18	78221452	FALSE
chr19	61309027	FALSE
chr20	66533130	FALSE
chr21	33445071	FALSE
chr22	37823149	FALSE
chrX	155549662	FALSE
chrY	26350515	FALSE
chrM	16554	TRUE
