chrom	size	circular
chr1	282763074	FALSE
chr2	266435125	FALSE
chr3	177699992	FALSE
chr4	184226339	FALSE
chr5	173707219	FALSE
chr6	147991367	FALSE
chr7	145729302	FALSE
chr8	133307652	FALSE
chr9	122095297	FALSE
chr10	112626471	FALSE
chr11	90463843	FALSE
chr12	52716770	FALSE
chr13	114033958	FALSE
chr14	115493446	FALSE
chr15	111246239	FALSE
chr16	90668790	FALSE
chr17	90843779	FALSE
chr18	88201929	FALSE
chr19	62275575	FALSE
chr20	56205956	FALSE
chrX	159970021	FALSE
chrY	3310458	FALSE
chrM	16313	TRUE
