chrom	size	assembled	circular
chr1	248387328	TRUE	FALSE
chr2	242696752	TRUE	FALSE
chr3	201105948	TRUE	FALSE
chr4	193574945	TRUE	FALSE
chr5	182045439	TRUE	FALSE
chr6	172126628	TRUE	FALSE
chr7	160567428	TRUE	FALSE
chr8	146259331	TRUE	FALSE
chr9	150617247	TRUE	FALSE
chr10	134758134	TRUE	FALSE
chr11	135127769	TRUE	FALSE
chr12	133324548	TRUE	FALSE
chr13	113566686	TRUE	FALSE
chr14	101161492	TRUE	FALSE
chr15	99753195	TRUE	FALSE
chr16	96330374	TRUE	FALSE
chr17	84276897	TRUE	FALSE
chr18	80542538	TRUE	FALSE
chr19	61707364	TRUE	FALSE
chr20	66210255	TRUE	FALSE
chr21	45090682	TRUE	FALSE
chr22	51324926	TRUE	FALSE
chrX	154259566	TRUE	FALSE
chrY	62460029	TRUE	FALSE
chrM	16569	TRUE	TRUE
