chrom	size	circular
chr1	122014068	FALSE
chr2	82037489	FALSE
chr3	94329250	FALSE
chr4	87912527	FALSE
chr5	88913986	FALSE
chr6	80213190	FALSE
chr7	80419774	FALSE
chr8	73585679	FALSE
chr9	60315500	FALSE
chr10	69219345	FALSE
chr11	72832428	FALSE
chr12	72300020	FALSE
chr13	62895387	FALSE
chr14	60430354	FALSE
chr15	64389122	FALSE
chr16	54556944	FALSE
chr17	63738581	FALSE
chr18	54357284	FALSE
chr19	52989165	FALSE
chr20	57984708	FALSE
chr21	50232922	FALSE
chr22	61822301	FALSE
chr23	52413914	FALSE
chr24	46832179	FALSE
chr25	51908704	FALSE
chr26	38725074	FALSE
chr27	46280981	FALSE
chr28	41264955	FALSE
chr29	40893792	FALSE
chr30	40067686	FALSE
chr31	39086971	FALSE
chr32	41857359	FALSE
chr33	31422675	FALSE
chr34	51113282	FALSE
chr35	26040529	FALSE
chr36	30723464	FALSE
chr37	31754289	FALSE
chr38	23973277	FALSE
chrX	108808365	FALSE
chrM	16727	TRUE
