chrom	size	circular
chr1	59578282	FALSE
chr2	59640629	FALSE
chr3	62628489	FALSE
chr4	78093715	FALSE
chr5	72500376	FALSE
chr6	60270059	FALSE
chr7	74282399	FALSE
chr8	54304671	FALSE
chr9	56459846	FALSE
chr10	45420867	FALSE
chr11	45484837	FALSE
chr12	49182954	FALSE
chr13	52186027	FALSE
chr14	52660232	FALSE
chr15	48040578	FALSE
chr16	55266484	FALSE
chr17	53461100	FALSE
chr18	51023478	FALSE
chr19	48449771	FALSE
chr20	55201332	FALSE
chr21	45934066	FALSE
chr22	39133080	FALSE
chr23	46223584	FALSE
chr24	42172926	FALSE
chr25	37502051	FALSE
chrM	16596	TRUE
